train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.1054,0.798,1.125,0.7789,96,0.0006286249210419104,242525262 microseconds,32,1,0.19229598162616135
1.116,0.7912,1.1332,0.7734,96,0.0005478389662705795,62296954 microseconds,128,1,0.1731011602521595
1.1131,0.7947,1.1333,0.7722,150,0.0008604522307908336,24114347 microseconds,512,1,0.05044392640437434
1.127,0.7785,1.1385,0.7672,102,0.0006348773381623559,31471538 microseconds,256,1,0.18845048915530926
1.1252,0.7814,1.1423,0.7654,150,0.0005793607642368463,35138237 microseconds,512,1,0.05421128594754232
1.1347,0.7743,1.145,0.7623,85,0.00036683125393393174,107994785 microseconds,64,1,0.35136533850917506
1.1464,0.7586,1.1545,0.7494,66,0.0009686563722190292,42896607 microseconds,128,1,0.34722268364205644
1.148,0.7556,1.1602,0.7451,150,0.0006470868758992942,45217318 microseconds,256,1,0.7159918535557779
1.1456,0.7636,1.166,0.7438,150,0.0003595811473148979,35063754 microseconds,512,1,0.10141133635631139
1.153,0.7541,1.1671,0.7371,93,0.0004889260276164631,60359031 microseconds,128,1,0.5913305073912036
1.1539,0.7573,1.1679,0.7445,150,0.0001189774443817773,171945420 microseconds,64,1,0.07724937620356831
1.1827,0.7178,1.186,0.7161,84,0.0006546721259300146,214557092 microseconds,32,1,0.6741957135936706
1.182,0.7253,1.1923,0.718,150,0.0001329728247222259,190415262 microseconds,64,1,0.7430862323371745
1.1838,0.7211,1.1945,0.7143,150,0.00020539047303970507,98572454 microseconds,128,1,0.7847298103221542
1.1992,0.7075,1.2108,0.6977,150,0.00014882137863815354,97353882 microseconds,128,1,0.7655600662626469
1.2103,0.6927,1.2119,0.6903,83,0.0009848699563935574,48006929 microseconds,128,1,0.7647758984042569
1.2365,0.6678,1.2303,0.6761,101,0.00040799351230999325,58380286 microseconds,128,1,0.8739279228760369
1.3118,0.5887,1.2998,0.6016,60,0.0008544930767526317,152725651 microseconds,32,1,0.8816184362654037
1.3206,0.5803,1.3177,0.5807,120,0.0008462331343479229,20208548 microseconds,512,1,0.9556966532447684
1.4259,0.4709,1.4119,0.4901,53,0.0008163050980056458,34432958 microseconds,128,1,0.9902697113046516
