train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
1.1014,0.8044,1.1199,0.7876,150,0.0007650557273666367,38291651 microseconds,512,2,0.36053270619566957,0.051602141722357
1.1147,0.7904,1.1298,0.774,118,0.0008674769447123058,29967252 microseconds,512,2,0.21818539676551385,0.34681391586158683
1.1241,0.7802,1.1316,0.7709,118,0.000448920887331566,226271905 microseconds,64,2,0.4142034882220905,0.16801104745768536
1.1209,0.7832,1.1371,0.7672,146,0.00045084641841796724,72838037 microseconds,256,2,0.05971945986325944,0.6245335535787345
1.1388,0.7672,1.1484,0.7574,103,0.0009990358901281423,26284063 microseconds,512,2,0.4522979388800197,0.3003014765667772
1.1327,0.7726,1.1489,0.7562,150,0.0002963069500406878,146479516 microseconds,128,2,0.6473758828429074,0.6805901796276217
1.1371,0.7686,1.1538,0.7506,150,0.00031002688447580084,73051201 microseconds,256,2,0.649759622896086,0.36656792909258307
1.1402,0.763,1.1548,0.7463,86,0.00040937411398020657,163155341 microseconds,64,2,0.324781702827735,0.7762674680187933
1.1544,0.7495,1.1581,0.7432,67,0.0005790916956828129,254713633 microseconds,32,2,0.4709452416590383,0.3422840572507634
1.1648,0.7386,1.1587,0.7451,61,0.0009950846751957479,116766263 microseconds,64,2,0.455983479917216,0.08437699028781231
1.1741,0.7287,1.1637,0.7383,53,0.0009648806632984556,100717360 microseconds,64,2,0.27290882841459463,0.22971762789398786
1.1632,0.7396,1.1703,0.7309,88,0.0007329959530113102,87104598 microseconds,128,2,0.7466753686309016,0.20699067055078924
1.1569,0.7502,1.1712,0.7334,52,0.0006437306541060148,50032469 microseconds,128,2,0.25316009054612787,0.43267975623085886
1.1715,0.7314,1.1827,0.7186,144,0.0004349502111247042,71338634 microseconds,256,2,0.6201215347284461,0.9219742610283956
1.1817,0.7239,1.1929,0.7143,149,0.00042364148527305947,37608437 microseconds,512,2,0.8864062610679236,0.2646259495984429
1.1912,0.7112,1.1958,0.7118,113,0.0008290503161067864,55846561 microseconds,256,2,0.796928531418414,0.8507721321830816
1.1863,0.7153,1.1963,0.7044,112,0.0007804505010694778,426991276 microseconds,32,2,0.7968467941582092,0.2927177179344098
1.2127,0.689,1.2135,0.6872,99,0.0009417554874649994,190004024 microseconds,64,2,0.6973903369352554,0.8495830224978522
1.2517,0.6502,1.2558,0.6453,52,0.0009443565563284722,99396277 microseconds,64,2,0.7480290600586351,0.7550989070836193
1.2931,0.6061,1.286,0.6188,35,0.0008773695647364678,33524462 microseconds,128,2,0.8545866529124994,0.5897942829906779
