train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
1.1167,0.7875,1.1406,0.7642,133,0.0006574300539254838,454079089 microseconds,64,2,0.1301498143709422,0.14319059719140892
1.1317,0.7735,1.1495,0.7543,142,0.000730356761835018,63989671 microseconds,512,2,0.21156730832730908,0.41210588120333125
1.1432,0.7632,1.159,0.7445,114,0.0003560493455155689,196203572 microseconds,128,2,0.016868483213706043,0.44322583775081303
1.1426,0.7611,1.1605,0.7408,119,0.0006955997468327677,103710075 microseconds,256,2,0.25179659038783153,0.7209203730105154
1.1415,0.7623,1.1656,0.7371,67,0.0006947672369994967,230976855 microseconds,64,2,0.008102896710745378,0.4260290999912949
1.1555,0.7475,1.1657,0.7371,103,0.0009152704000804183,178477611 microseconds,128,2,0.45352203981531714,0.45849215012083844
1.1626,0.7421,1.1721,0.7266,85,0.00021661085273260745,577607117 microseconds,32,2,0.05212785022123667,0.6603307418366174
1.1607,0.7438,1.1746,0.7272,137,0.0007697566055948811,61671618 microseconds,512,2,0.08393399140312752,0.30245407467451124
1.1671,0.7372,1.1747,0.7303,116,0.0004682036760781689,101782883 microseconds,256,2,0.37675470941904443,0.38899291768442135
1.1616,0.7436,1.1805,0.7254,150,0.00036586565524088856,67454811 microseconds,512,2,0.05193717210037474,0.5142425000890529
1.1645,0.7401,1.1833,0.7204,84,0.0009066538813125052,74505384 microseconds,256,2,0.3742717565186864,0.19689381429578023
1.1844,0.7177,1.1883,0.7143,125,0.00020952725683549166,429856984 microseconds,64,2,0.23596602789174226,0.8756458837848736
1.1949,0.7075,1.2052,0.6989,119,0.0006064074184375616,405257052 microseconds,64,2,0.684967694393887,0.2541704364300408
1.2235,0.6788,1.2222,0.681,52,0.0008012755298145961,353115941 microseconds,32,2,0.46559538997632843,0.28490876417600075
1.2063,0.7027,1.2237,0.678,150,0.00029333392568470587,66976025 microseconds,512,2,0.08242376791694372,0.8225961106113804
1.2831,0.614,1.2838,0.6225,68,0.0006264715739315491,30775169 microseconds,512,2,0.7566433700190989,0.7511551929656834
1.2975,0.5986,1.293,0.6078,72,0.0007262047847131624,123596535 microseconds,128,2,0.8825638293680184,0.4922596397719049
1.2961,0.6036,1.3014,0.601,145,0.00011937528280401484,65262656 microseconds,512,2,0.5166179733872898,0.4262615685493558
1.3018,0.5952,1.303,0.5998,114,0.0006615680436659421,51290837 microseconds,512,2,0.9309790393483321,0.2743972367143691
1.3808,0.5177,1.3717,0.5228,78,0.00015083014264538698,265776168 microseconds,64,2,0.9837255137398699,0.04259912151804757
