train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2,dropout_3
1.1199,0.7851,1.1445,0.7592,122,0.00019432573253442745,399420435 microseconds,32,3,0.10801031707472408,0.08062193417092889,0.6117957703178069
1.1321,0.7721,1.1514,0.7525,144,0.0007372590171851885,61717760 microseconds,256,3,0.4297963823117813,0.570858725189987,0.4808066771164943
1.1385,0.7672,1.1522,0.7512,100,0.0006230075268919274,42720506 microseconds,256,3,0.2477872447711521,0.14173849813539918,0.5137535240560566
1.1344,0.7712,1.1544,0.7506,150,0.0007687428735058482,33286469 microseconds,512,3,0.26083488429268653,0.8793190447469146,0.3002856455630847
1.1286,0.7772,1.1545,0.7512,108,0.0008756154859375521,23873280 microseconds,512,3,0.2612409332836446,0.46007080361533903,0.18816824140090505
1.1298,0.7751,1.1547,0.7482,143,0.0007909864275238631,32013704 microseconds,512,3,0.5450052736880469,0.18371800621604073,0.32118879790619004
1.1467,0.7574,1.1665,0.7377,150,0.0004346703377461874,33807218 microseconds,512,3,0.636841631921998,0.3864245546225066,0.27521132291181905
1.1568,0.7461,1.1733,0.7346,100,0.00022942817836503623,164418734 microseconds,64,3,0.2330131069325858,0.8418097563718429,0.6163557869658808
1.2294,0.6762,1.228,0.6755,79,0.0007567328403771182,18017437 microseconds,512,3,0.736185679415296,0.7456111806860297,0.5384180614846275
1.2716,0.6318,1.2748,0.6287,102,0.00089606954901719,85720118 microseconds,128,3,0.904557339210285,0.048285937237478316,0.40715535924119317
1.2848,0.6161,1.2821,0.6201,142,0.00017000498926206405,59388559 microseconds,256,3,0.5151818819013257,0.967639047831809,0.4397214091521291
1.2945,0.6085,1.2962,0.6078,122,0.0001254603640172027,27180458 microseconds,512,3,0.6261613282184478,0.8296419081360787,0.6905842741007421
1.3067,0.588,1.3066,0.5899,56,0.0008286333141093236,182769335 microseconds,32,3,0.8945771723013914,0.7268428668220732,0.362725749294885
1.3071,0.5914,1.3068,0.5936,51,0.000919884489996778,83498842 microseconds,64,3,0.9144873084193721,0.4482845567271406,0.49234027291573745
1.3126,0.5885,1.3172,0.5862,150,0.000102351190851653,32295728 microseconds,512,3,0.8737307330306953,0.5352803874100878,0.6211346723572787
1.3268,0.5705,1.3222,0.5764,48,0.0008666191714398088,79488195 microseconds,64,3,0.936516736186264,0.7101305703964723,0.5772269767419209
1.3291,0.5735,1.3298,0.569,82,0.00025515604612014696,269510983 microseconds,32,3,0.29190994342440824,0.8740932373005624,0.958122585793185
1.3403,0.5623,1.3334,0.5714,28,0.0007764716761744044,23131697 microseconds,128,3,0.9489979020531945,0.395961310822589,0.26657808222626145
1.437,0.4639,1.4307,0.4655,45,0.0009651834337432249,18734911 microseconds,256,3,0.9785931837600702,0.06643916885064793,0.9124630012485632
1.5134,0.3541,1.505,0.3602,41,0.000610947813821615,17303373 microseconds,256,3,0.07261267816649708,0.13408922175565452,0.992993712791655
