train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
1.1315,0.7742,1.1455,0.7599,150,0.0003843145738116216,68017511 microseconds,256,2,0.3041482250112465,0.6222682478780213
1.14,0.7646,1.1542,0.7512,81,0.0005735646774492715,70914449 microseconds,128,2,0.15665315740808794,0.4888367595984233
1.1412,0.7627,1.1545,0.7506,124,0.0005998216822976904,108584496 microseconds,128,2,0.10058993151273143,0.8451393918807599
1.143,0.7611,1.1558,0.75,85,0.0008013379138179913,38456164 microseconds,256,2,0.19263207155488948,0.4880557961626242
1.1457,0.7567,1.1577,0.75,90,0.0004873896040514566,78814478 microseconds,128,2,0.46904367634973687,0.1731241443190097
1.1481,0.7535,1.1578,0.7463,106,0.0009463733575704891,92758648 microseconds,128,2,0.5276879141935354,0.10142762742305844
1.1495,0.7532,1.1608,0.7432,64,0.0008335920324140087,55958156 microseconds,128,2,0.12471743504205324,0.373638555953843
1.1616,0.7445,1.175,0.7284,92,0.0008919656905662707,80557201 microseconds,128,2,0.6298949972529451,0.6251937836824519
1.1791,0.7243,1.1827,0.7248,56,0.00023238392900244692,191640038 microseconds,32,2,0.5426397043380261,0.5113045174912623
1.1798,0.7293,1.1927,0.7167,150,0.0002557353262332731,41697227 microseconds,512,2,0.5746592975565994,0.6539333965272814
1.1875,0.7161,1.1952,0.7106,88,0.0009749823052852257,39325883 microseconds,256,2,0.15926520017945867,0.9239386606440548
1.2049,0.6978,1.1963,0.7081,46,0.0006699997326146733,79206384 microseconds,64,2,0.5764349102682316,0.6507636759875449
1.1942,0.7083,1.1979,0.7026,106,0.0003780855635781398,182139749 microseconds,64,2,0.879374886066706,0.11581642340566123
1.1987,0.7072,1.2,0.7112,87,0.000218726181233407,76062009 microseconds,128,2,0.41856983423373784,0.8742760453576564
1.1951,0.7113,1.2088,0.6983,150,0.0002086922980253576,41525917 microseconds,512,2,0.43571003156919474,0.7826442115182571
1.2302,0.6708,1.2312,0.6706,126,0.00045935990974948723,432275816 microseconds,32,2,0.8967126186044427,0.6275068302447303
1.2815,0.6182,1.2773,0.6244,49,0.00046318866419143504,84422126 microseconds,64,2,0.8763349764586279,0.3656156461518091
1.2744,0.6284,1.2779,0.6225,86,0.00048260059994565963,75449286 microseconds,128,2,0.19535099828407054,0.9752176593469598
1.2825,0.6139,1.2779,0.6232,120,0.0005405592558486121,33150066 microseconds,512,2,0.7701836960087064,0.9677792180987222
1.3117,0.5876,1.3059,0.5948,44,0.0005995308159709419,19808686 microseconds,256,2,0.9653551561948563,0.3556762639974155
