train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2,dropout_3
1.1432,0.7589,1.1543,0.7512,102,0.0004005047793208513,178397191 microseconds,64,3,0.15498994843453984,0.08978086138191654,0.5312002708626183
1.164,0.7403,1.1691,0.7358,73,0.00042988693568510154,254398888 microseconds,32,3,0.41034139008596715,0.0241584741908778,0.3397605597134843
1.1588,0.745,1.17,0.7334,99,0.0004262754133163843,346918983 microseconds,32,3,0.39690777808792066,0.5730516304384247,0.42998230627714795
1.1616,0.7428,1.1748,0.7254,73,0.0005929208636781748,63817575 microseconds,128,3,0.1493884874878323,0.02724487680553933,0.004058776750055171
1.1627,0.7419,1.1773,0.726,150,0.00042074656854371926,35451966 microseconds,512,3,0.17822523327369988,0.8106590576132185,0.22232399048728202
1.1822,0.7203,1.1814,0.7211,77,0.0009119240531174822,68665732 microseconds,128,3,0.33121255197519817,0.8055246535843039,0.16352490352303073
1.1932,0.709,1.1895,0.7137,59,0.0004846781527634826,207553622 microseconds,32,3,0.31137158223397643,0.6016891535129729,0.7345653930774801
1.1847,0.7187,1.1911,0.7124,68,0.0007386287229898368,119977827 microseconds,64,3,0.1685902984693466,0.8504955989935952,0.6576217522463739
1.1754,0.7293,1.1925,0.7137,150,0.0002842394599161555,35941742 microseconds,512,3,0.4652662361899387,0.24766459111221906,0.6750683514547214
1.1908,0.7153,1.2001,0.7094,123,0.0005088815403762177,29528545 microseconds,512,3,0.7359026308089698,0.08859713046107343,0.7873583816736949
1.2228,0.6823,1.2025,0.702,108,0.0009237582865178498,51270582 microseconds,256,3,0.4154770161259318,0.45714719095301337,0.9111035848871584
1.1911,0.7119,1.2065,0.6989,75,0.00024988866943453285,66526215 microseconds,128,3,0.2912961197577808,0.3595158782065664,0.021284957928588533
1.2096,0.6934,1.2103,0.6884,116,0.0004293991436717955,27023473 microseconds,512,3,0.30482093168893265,0.9308207635530296,0.35300119646645023
1.2415,0.6613,1.2425,0.6663,121,0.0002512931338707095,28791044 microseconds,512,3,0.8054931003077936,0.8383455730107949,0.48855692287167696
1.2556,0.644,1.2503,0.6509,92,0.0009469106544796782,322013585 microseconds,32,3,0.7928139216062124,0.8701867049060991,0.23716817416713154
1.2672,0.6319,1.2601,0.6416,82,0.0006405746412464111,144766678 microseconds,64,3,0.7900602280506529,0.4351712397844768,0.8933122053611356
1.311,0.5898,1.3106,0.5911,55,0.0004914997700759406,25284455 microseconds,256,3,0.9303007183522991,0.5280515980686172,0.5041932837305326
1.3391,0.5586,1.3343,0.564,67,0.0004970355734075539,118051363 microseconds,64,3,0.9567148326289875,0.9628911777771061,0.5978557442617702
1.4825,0.4007,1.4625,0.4329,39,0.0005216246138979542,67393280 microseconds,64,3,0.9994214000699876,0.20638358005218083,0.5037759611814031
1.526,0.3382,1.5154,0.3381,88,0.00030064941089994504,40704330 microseconds,256,3,0.9813081628075806,0.9010654361430941,0.9821220440703929
