train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.1162,0.7896,1.1317,0.774,150,0.0005261692892524145,264910849 microseconds,128,1,0.21865322794428377
1.1334,0.7719,1.1473,0.7592,104,0.0007889623011022168,183253732 microseconds,128,1,0.13294714005366015
1.1273,0.7808,1.1484,0.7568,150,0.0008777772224927409,70563890 microseconds,512,1,0.18593062424429663
1.1427,0.7677,1.1601,0.7445,150,0.0006804843070469977,68073162 microseconds,512,1,0.07666731319929121
1.146,0.7572,1.1616,0.7445,150,0.0008748397877895548,132689596 microseconds,256,1,0.39997858459335345
1.1539,0.7521,1.1665,0.7358,150,0.000660387278859082,133882858 microseconds,256,1,0.409919581879314
1.1546,0.7518,1.1677,0.7408,106,0.00068197236627301,184883094 microseconds,128,1,0.24077746603462447
1.1769,0.7255,1.1737,0.7303,86,0.0007801786893695714,296874537 microseconds,64,1,0.49700100378956547
1.1694,0.739,1.1811,0.7248,150,0.00032743163651989613,261140684 microseconds,128,1,0.4732201392159502
1.1969,0.7093,1.1982,0.7063,150,0.0004374013888844173,133883245 microseconds,256,1,0.6969841092028322
1.2262,0.6795,1.2345,0.6687,126,0.00030361244494163473,221735246 microseconds,128,1,0.7754576131780065
1.2373,0.6642,1.2411,0.6576,115,0.00040197095614321254,397950104 microseconds,64,1,0.829083506452072
1.244,0.6605,1.25,0.6576,150,0.000290310861322789,133376895 microseconds,256,1,0.7578611971895353
1.2483,0.6592,1.2536,0.6453,150,0.00025426773353944774,134623823 microseconds,256,1,0.7388181733966833
1.2519,0.6591,1.2605,0.6515,150,0.00020588053375582163,133304409 microseconds,256,1,0.6619132625593629
1.2892,0.6112,1.2793,0.6201,60,0.0009998078111232186,413377957 microseconds,32,1,0.8263818600200737
1.3304,0.5671,1.3234,0.5739,50,0.0007107566075819224,348251475 microseconds,32,1,0.9168423312809534
1.3187,0.5853,1.3255,0.5794,148,0.0001430365475441452,68015338 microseconds,512,1,0.7835156237218318
1.3463,0.5534,1.3435,0.553,139,0.0004939707614763239,63718665 microseconds,512,1,0.9654433253224667
1.4597,0.4298,1.4452,0.4495,55,0.0007976357794042948,191496332 microseconds,64,1,0.9877610337269891
