train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.0992,0.8064,1.1142,0.7937,123,0.0004293255106735761,170267124 microseconds,64,1,0.2694627654284426
1.0876,0.8196,1.117,0.7869,150,0.0006093822121917332,54236933 microseconds,256,1,0.04837128647448219
1.1059,0.8009,1.1213,0.7863,98,0.0002480388164257298,271979395 microseconds,32,1,0.08503282993355366
1.1142,0.7926,1.1239,0.7808,87,0.0006514558118823449,122986923 microseconds,64,1,0.2900213946874798
1.1246,0.7776,1.1336,0.7697,118,0.0008045752303911539,325982440 microseconds,32,1,0.4811383200234314
1.1195,0.7912,1.1359,0.7759,150,0.0006305918989559314,28481658 microseconds,512,1,0.28983068993078753
1.1209,0.7853,1.1378,0.7703,145,0.00039928941366233154,52370757 microseconds,256,1,0.31523562511505987
1.1388,0.7652,1.1456,0.7592,140,0.0006717951365148606,98473842 microseconds,128,1,0.6845862911594189
1.132,0.7801,1.1508,0.7562,150,0.00044910329721654945,28376228 microseconds,512,1,0.016056102249135562
1.1382,0.7702,1.1521,0.7568,150,0.0006107746998644528,28708081 microseconds,512,1,0.6386493908585886
1.1454,0.7594,1.1548,0.7506,126,0.0005801600664839904,45731019 microseconds,256,1,0.6616468078720558
1.1414,0.7641,1.1566,0.7488,150,0.0006972581694781109,28492385 microseconds,512,1,0.675343301057918
1.1807,0.7215,1.1814,0.7211,99,0.0009669408573787318,138244230 microseconds,64,1,0.7161875680833012
1.1766,0.7326,1.1897,0.7155,150,0.00012384488326566565,207212385 microseconds,64,1,0.734682498304856
1.1897,0.717,1.2049,0.7007,150,0.0003008136104442508,28357773 microseconds,512,1,0.6967723642810162
1.1975,0.7065,1.2053,0.6964,84,0.0005348630354055674,59161592 microseconds,128,1,0.7939322869953864
1.2111,0.6894,1.2118,0.6903,103,0.0006369945273111468,284335320 microseconds,32,1,0.839158529221821
1.2156,0.6946,1.2217,0.6884,119,0.00011245859913567785,165589927 microseconds,64,1,0.7903884232208818
1.2345,0.6657,1.2347,0.6663,124,0.00035514379540792636,343397855 microseconds,32,1,0.9074418761175032
1.2707,0.6272,1.2671,0.6379,69,0.000733963166041814,49374219 microseconds,128,1,0.8799510606317316
