train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
1.1309,0.7736,1.1507,0.7506,145,0.0008602363479762543,97317937 microseconds,512,2,0.26934750813693353,0.5533613966849377
1.1395,0.7627,1.154,0.7488,95,0.0005861143269304316,246163517 microseconds,128,2,0.03362454621194677,0.42674542274113836
1.1425,0.7621,1.1575,0.7463,81,0.0008102889245749652,437564831 microseconds,64,2,0.11839161990044467,0.32316175085520205
1.1595,0.7443,1.1595,0.7457,107,0.0004497978929448838,1088814630 microseconds,32,2,0.5834544684399113,0.1269690042260243
1.1709,0.7325,1.1611,0.7395,67,0.0008615355752551892,341737891 microseconds,64,2,0.007547258724866057,0.08711594153307578
1.1449,0.7606,1.1631,0.7395,150,0.00026669266713901516,409047659 microseconds,128,2,0.01125056709395389,0.3695747658352725
1.1683,0.7332,1.1673,0.734,104,0.0007359164283426132,560932716 microseconds,64,2,0.5832795393718827,0.3406433742770604
1.1588,0.7487,1.1681,0.7401,132,0.00015168395118912102,711348689 microseconds,64,2,0.4589957437005521,0.11763703590008479
1.1642,0.7422,1.1704,0.734,120,0.00017920694754225877,1222267676 microseconds,32,2,0.7070181662319192,0.3578477318996849
1.1795,0.7245,1.1756,0.7284,65,0.00034035858841643436,653973479 microseconds,32,2,0.29230231235345594,0.5734122176866293
1.1864,0.7157,1.194,0.7075,150,0.0007629380740835394,766979413 microseconds,64,2,0.7086339803796537,0.588714086937761
1.2067,0.6994,1.22,0.6835,150,0.0002922710617197771,100144822 microseconds,512,2,0.07303290892562597,0.06933738828890601
1.2151,0.6912,1.2253,0.6804,150,0.0002578317330822712,100379319 microseconds,512,2,0.12849415112223272,0.406441250322094
1.2392,0.6603,1.2336,0.6626,122,0.0009582541576003115,81067151 microseconds,512,2,0.7322744581243629,0.8219554015813065
1.2711,0.6287,1.2603,0.6392,72,0.0008135593972314041,733181403 microseconds,32,2,0.8216287763931406,0.5945963909825988
1.2945,0.6014,1.2764,0.6275,65,0.0008750233628844516,661662590 microseconds,32,2,0.9266607296138512,0.43868426589050946
1.3332,0.5658,1.3271,0.5696,65,0.0003394971622138824,84636758 microseconds,256,2,0.9388420016653811,0.7370262059393019
1.3449,0.5541,1.3406,0.5542,65,0.0007391727474627591,168181806 microseconds,128,2,0.8898580001270374,0.9315672365696029
1.4617,0.4307,1.4468,0.4452,75,0.0005238851204248958,193684124 microseconds,128,2,0.9945638212495648,0.7917071364189885
1.5124,0.3722,1.5001,0.3953,63,0.0005593494705326677,44693290 microseconds,512,2,0.996587029980977,0.7816560075407692
