train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
0.9734,0.7543,0.9753,0.7576,72,0.00016555765166665566,6231437583 microseconds,32,1,0.062112501248742236
0.9749,0.7529,0.9766,0.7558,75,0.0005018234006987112,1627391101 microseconds,128,1,0.12835088046626242
0.9761,0.752,0.9787,0.7503,73,0.0008763860024998479,797016134 microseconds,256,1,0.17160157585933677
0.9813,0.7435,0.9827,0.7422,49,0.0009861156351543712,268958565 microseconds,512,1,0.18782368217489143
0.9815,0.7445,0.9844,0.7399,64,0.0008781398165033719,1388870554 microseconds,128,1,0.2988222660184221
0.9866,0.7376,0.985,0.7407,75,0.0007004456154095358,6489379476 microseconds,32,1,0.3861855451911529
0.988,0.7357,0.9872,0.7381,38,0.0001463932711681721,3289582591 microseconds,32,1,0.39507114767487383
0.9862,0.7371,0.9874,0.7329,64,0.0008813912014698104,1389071106 microseconds,128,1,0.42074628704911543
0.987,0.7371,0.9881,0.7381,49,0.0007950388538072857,4236831945 microseconds,32,1,0.3033844260619234
0.9889,0.735,0.9883,0.7372,80,0.00045072697573194395,1737197051 microseconds,128,1,0.6280368888670697
0.9882,0.7352,0.9886,0.7351,67,0.0007926427726454408,2900427849 microseconds,64,1,0.49539168799979394
0.9928,0.73,0.9915,0.7341,57,0.0008755422837102516,622491514 microseconds,256,1,0.530253951407916
0.9947,0.7269,0.9923,0.7298,76,0.0009744114286199731,1649601076 microseconds,128,1,0.5989124049058568
0.9917,0.735,0.9926,0.7363,111,0.0001341302480951466,610049588 microseconds,512,1,0.7188745661692633
0.9959,0.726,0.9933,0.7298,70,0.0009525920911113858,6054581714 microseconds,32,1,0.5319668387013402
0.9959,0.7258,0.9941,0.733,46,0.0007491895012551552,998868146 microseconds,128,1,0.5598340231402426
1.0025,0.7171,1.0003,0.7191,44,0.0007730609098111456,954550813 microseconds,128,1,0.6521116446644748
1.0275,0.6854,1.0251,0.6881,35,0.0005378869826049813,1515168670 microseconds,64,1,0.894025978768041
1.0325,0.6777,1.0293,0.6808,31,0.00022984178589354783,1342824675 microseconds,64,1,0.9554616556738292
1.0889,0.6061,1.0841,0.6088,14,0.0008743444948404013,152887614 microseconds,256,1,0.9742718061172465
