train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
0.9747,0.753,0.976,0.756,55,0.00041481445477168407,3971758708 microseconds,64,1,0.07266670891224347
0.9765,0.7513,0.9769,0.7513,64,0.00041682750901071513,4620985780 microseconds,64,1,0.15879287556030097
0.9773,0.7498,0.9795,0.747,87,0.000701142973569048,794365874 microseconds,512,1,0.38503477836856803
0.981,0.7446,0.9804,0.7449,54,0.0003159849369342951,7790002435 microseconds,32,1,0.2830905440908488
0.9802,0.7452,0.9806,0.7425,72,0.0005446176178369229,5199385975 microseconds,64,1,0.39447466591710756
0.9821,0.7431,0.9827,0.7402,70,0.0003201633776617477,10096180954 microseconds,32,1,0.4210169778102769
0.9844,0.7404,0.984,0.7413,49,0.00021697548976935203,3538798797 microseconds,64,1,0.4312347848723741
0.9823,0.7445,0.9853,0.739,93,0.00018139618075511775,849363319 microseconds,512,1,0.5647510015026025
0.9856,0.7379,0.9859,0.7367,63,0.0007690214434664629,1145686881 microseconds,256,1,0.4757754261252207
0.9879,0.7371,0.9886,0.7334,72,0.00041597240378084797,1308034717 microseconds,256,1,0.6649875191887131
0.9893,0.7338,0.9897,0.7322,54,0.0009922596200141523,493126838 microseconds,512,1,0.48777503736116623
0.9932,0.7293,0.9926,0.7288,55,0.00048155473609779706,999801378 microseconds,256,1,0.6762021861196058
0.9979,0.7248,0.9977,0.7238,84,0.00044538512106461983,766983950 microseconds,512,1,0.804842547299155
1.0042,0.714,1.002,0.7152,62,0.000939498373089203,1127099169 microseconds,256,1,0.7290662957239249
1.0051,0.7135,1.0037,0.7201,51,0.0006645904233160332,927277789 microseconds,256,1,0.7827456100796774
1.0086,0.7111,1.0058,0.7144,30,0.0009144793242535356,547838998 microseconds,256,1,0.6966236806403667
1.0079,0.7114,1.0078,0.7106,43,0.0005652188128532321,392497993 microseconds,512,1,0.8207802551220497
1.0274,0.6843,1.0252,0.6822,39,0.0008547020707490774,709111152 microseconds,256,1,0.8980792927792817
1.0281,0.6808,1.0273,0.6811,61,0.00020132822022055104,1108974740 microseconds,256,1,0.971460764143308
1.0576,0.6421,1.0428,0.6567,31,0.0009390277180676232,4470201460 microseconds,32,1,0.9620561564569621
