train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
0.9691,0.7609,0.9743,0.7567,94,0.0003203670544633976,4306569370 microseconds,256,2,0.020349269809133874,0.2622460617943796
0.9794,0.7456,0.9823,0.7447,82,0.0002474657579516044,1885908544 microseconds,512,2,0.5486943541563629,0.2729717222388961
0.9803,0.7466,0.983,0.7407,43,0.000995965418798882,1998151579 microseconds,256,2,0.005415190327970776,0.009340761718779955
0.9809,0.7467,0.9835,0.7363,51,0.0006235471583582796,1190800846 microseconds,512,2,0.1656452734524917,0.49242183381563753
0.9817,0.7442,0.9836,0.7398,53,0.0007895632926173139,9737392695 microseconds,64,2,0.01714811543436967,0.20179482176901598
0.9847,0.7404,0.9842,0.7417,76,0.0007787562305812678,3529124970 microseconds,256,2,0.5934886890352254,0.10757589754118768
0.9831,0.7458,0.986,0.741,78,0.00015951808353896637,1792515270 microseconds,512,2,0.6049476180828364,0.03875879210922817
0.9857,0.7396,0.986,0.7385,85,0.0004002498248370564,31348203806 microseconds,32,2,0.5764154574023996,0.5876521456082896
0.9893,0.7346,0.9872,0.7301,45,0.0009323604688813157,8323969221 microseconds,64,2,0.31305787113879124,0.3599314350382409
0.986,0.7381,0.9877,0.7352,81,0.0004097299418687467,14970018333 microseconds,64,2,0.8073627767013007,0.010965294296798489
0.9881,0.7379,0.9878,0.7378,55,0.0006060275043323672,1282482902 microseconds,512,2,0.7041319398050886,0.4653305481107495
0.9858,0.7408,0.9883,0.7399,56,0.00019716688205109842,1286491938 microseconds,512,2,0.5087439368482733,0.45456251296402717
0.995,0.7277,0.9909,0.7355,47,0.0005871787786256161,17328746015 microseconds,32,2,0.6784869307206076,0.2578318833724049
0.9885,0.7357,0.9914,0.7328,51,0.0008082816177574848,2335308416 microseconds,256,2,0.6344786774078021,0.37240792456654115
1.0196,0.6962,1.0175,0.6949,30,0.0008750796695858039,5537214609 microseconds,64,2,0.6804437352799567,0.8643705689457242
1.0254,0.6843,1.0232,0.6885,33,0.0008953681730321505,12112334644 microseconds,32,2,0.6793293353754217,0.9423467735367411
1.0266,0.6749,1.0245,0.6817,31,0.0006035786655251056,712106076 microseconds,512,2,0.3056477933493881,0.9666887541567074
1.0393,0.6582,1.0365,0.6615,36,0.0007004243066146623,1671095276 microseconds,256,2,0.7629221273819494,0.9812236827010258
1.2434,0.5002,1.2436,0.5,13,0.0005211383406549623,4790461374 microseconds,32,2,0.9964292715223505,0.7265673568428777
1.2427,0.501,1.2436,0.5,22,0.0007184938388646849,1007421237 microseconds,256,2,0.9965222557135965,0.8896377217016841
