train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
0.9732,0.7569,0.9752,0.7561,76,0.00012267676463394335,6181900219 microseconds,32,2,0.02348943622609556,0.17103088775894248
0.9747,0.7544,0.9786,0.7475,99,0.00023686418853527803,527790928 microseconds,512,2,0.23125384965814477,0.18314103313269847
0.9812,0.745,0.9826,0.7421,66,0.00038509016578516396,696891150 microseconds,256,2,0.4482195166959435,0.3068759953677327
0.98,0.7461,0.9832,0.7432,61,0.0006841317013770593,325004322 microseconds,512,2,0.4450631299573399,0.10175326060462353
0.9851,0.7381,0.985,0.7381,54,0.0002820134523559078,4502739598 microseconds,32,2,0.44388633761647855,0.27580775302780036
0.9835,0.7414,0.9853,0.7375,61,0.000390239437620477,606787012 microseconds,256,2,0.6302877822823444,0.14232227287079924
0.9832,0.744,0.9855,0.7384,100,0.00011457326524603659,1056252822 microseconds,256,2,0.47554524697732403,0.7218692265031952
0.9838,0.7431,0.9862,0.7414,83,0.0002118684465344292,876872987 microseconds,256,2,0.514173584004308,0.7380469059017567
0.9854,0.7398,0.9867,0.7363,70,0.0009528938654895264,5641019117 microseconds,32,2,0.18126343411281187,0.09725703092062665
0.9893,0.7369,0.9887,0.7352,50,0.0008850692721642571,1049025724 microseconds,128,2,0.3872651289548057,0.36017717059240884
0.9896,0.735,0.9891,0.7303,55,0.0008817732133837973,1154018414 microseconds,128,2,0.3725058383517653,0.5932706789830133
0.9886,0.7361,0.9891,0.7361,60,0.0006122657166092738,596560371 microseconds,256,2,0.156770180070109,0.8261144628138702
0.9919,0.7333,0.9914,0.7333,93,0.000796646553218563,3893249545 microseconds,64,2,0.19731967258700456,0.8677245072382094
0.9915,0.7351,0.9919,0.7343,40,0.0004951821576778335,213502107 microseconds,512,2,0.35434674096759,0.7037546875022209
0.9949,0.7286,0.9922,0.7273,71,0.0006587004469754799,5934971570 microseconds,32,2,0.6110735648863961,0.6386748740757622
0.9921,0.7309,0.9935,0.7299,82,0.00015533828674038446,6851309609 microseconds,32,2,0.6720552017995896,0.8482825726169699
0.9923,0.7343,0.9937,0.7287,89,0.00045655005561666504,474034200 microseconds,512,2,0.293881963229657,0.9141276927946065
0.9964,0.7274,0.995,0.7281,61,0.0009617659275172243,1279765455 microseconds,128,2,0.4607000359397132,0.7546479585044075
1.0001,0.7244,1.0016,0.7183,58,0.00024050447287819602,612482891 microseconds,256,2,0.9019337925311591,0.2942496824963916
1.0274,0.684,1.0232,0.6885,23,0.0009408658648898178,963076399 microseconds,64,2,0.7301319138284487,0.9192841646656179
