train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.1333,0.7704,1.153,0.7525,84,0.0009218781162440781,132401887 microseconds,64,1,0.006489428493053673
1.1298,0.7739,1.1531,0.7525,150,0.0008901081639848187,121031637 microseconds,128,1,0.3560911141889279
1.1239,0.7834,1.1536,0.7506,150,0.000916161199532075,61300064 microseconds,256,1,0.03214338742428269
1.1252,0.7807,1.154,0.75,150,0.0009891522178776427,120550285 microseconds,128,1,0.274622672296866
1.1344,0.7764,1.1575,0.7512,150,0.0008776426992147538,32206252 microseconds,512,1,0.04389122890819819
1.1565,0.7472,1.1715,0.7328,79,0.000583307923356177,250561671 microseconds,32,1,0.2604955447286533
1.1675,0.7386,1.1811,0.7241,150,0.00019436894895126768,237891503 microseconds,64,1,0.44788234078607203
1.1692,0.7331,1.1861,0.7174,87,0.0009345476338291749,274101618 microseconds,32,1,0.3954742895969515
1.1665,0.736,1.1874,0.7174,133,0.0008349659771562318,54359925 microseconds,256,1,0.3936654305158942
1.1841,0.7194,1.197,0.7081,120,0.0002879101494967256,190689093 microseconds,64,1,0.5916205163982678
1.1868,0.7169,1.1979,0.7081,125,0.00017368190200432742,394217352 microseconds,32,1,0.6257513395222551
1.1862,0.7178,1.2016,0.702,113,0.00048487548582764223,47801480 microseconds,256,1,0.561239246920006
1.1964,0.7105,1.2095,0.6958,150,0.0002959995298147778,61412491 microseconds,256,1,0.7465601570210578
1.1968,0.7088,1.2121,0.6952,127,0.00047717499742692184,27296647 microseconds,512,1,0.6228314467836241
1.2074,0.7006,1.2172,0.6933,77,0.00036542458477433707,61723237 microseconds,128,1,0.5895118136580602
1.2244,0.6818,1.2355,0.6663,100,0.0005440756693961719,41148754 microseconds,256,1,0.81479042580099
1.2256,0.679,1.2385,0.6669,83,0.0008337051620155762,34354553 microseconds,256,1,0.7514293483130196
1.2317,0.6759,1.2464,0.6613,150,0.0001242442267137882,61707196 microseconds,256,1,0.5820228039956084
1.3131,0.5878,1.3107,0.5911,71,0.0007765893099356548,223876469 microseconds,32,1,0.911582038090028
1.3761,0.5229,1.3602,0.5388,67,0.000502079717408682,212934959 microseconds,32,1,0.9795610391515289
