train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
1.1331,0.7729,1.1505,0.7562,133,0.0003816308353140731,329706789 microseconds,64,1,0.3076262939139618
1.1521,0.7536,1.1684,0.7395,88,0.0009167834438036604,119132299 microseconds,128,1,0.14361134293210165
1.1684,0.7367,1.1869,0.7211,112,0.0005175758703208736,553792483 microseconds,32,1,0.23133089974379784
1.1857,0.7175,1.1871,0.7155,74,0.0006725216024118698,366327850 microseconds,32,1,0.2556071575033869
1.1754,0.7292,1.1885,0.7137,106,0.00033813815635604924,524227119 microseconds,32,1,0.4929617462822534
1.1816,0.7219,1.1912,0.7131,120,0.0005360509165318714,329917471 microseconds,64,1,0.575812977603852
1.1864,0.7198,1.2014,0.7063,81,0.0006343192662999468,101489085 microseconds,128,1,0.23380877440767944
1.2159,0.6865,1.2094,0.694,75,0.0009772190820705735,371717486 microseconds,32,1,0.5308249533824878
1.2031,0.6999,1.2108,0.6946,81,0.0006640596364024409,201282622 microseconds,64,1,0.5906093073315746
1.2033,0.7041,1.214,0.6933,90,0.0004672347906024655,113546260 microseconds,128,1,0.42333076668133385
1.2202,0.6814,1.2182,0.686,70,0.0007804794315542599,382620588 microseconds,32,1,0.5041421541342486
1.2159,0.6893,1.2281,0.6749,150,0.00011921361178483766,413464606 microseconds,64,1,0.24694250816147412
1.2335,0.6695,1.2326,0.6743,41,0.0008332431679934875,202790250 microseconds,32,1,0.2770235066429013
1.2229,0.687,1.2375,0.6743,113,0.0006113818220359868,42407858 microseconds,512,1,0.0017432894306255164
1.2457,0.656,1.2411,0.6644,67,0.00039882124256077794,331806042 microseconds,32,1,0.7004984170209525
1.2834,0.6177,1.286,0.6176,150,0.00013967079344968784,49353288 microseconds,512,1,0.1704141371870036
1.3164,0.5796,1.3097,0.5881,50,0.0009787161423535002,125124084 microseconds,64,1,0.8574736882087082
1.3023,0.6004,1.3127,0.5917,150,0.00021471674088666186,48928664 microseconds,512,1,0.8127819671832893
1.3272,0.573,1.3307,0.5683,82,0.0007755850689438566,52669776 microseconds,256,1,0.912857273993666
1.3486,0.5498,1.3407,0.5622,33,0.000779533818207584,91588198 microseconds,64,1,0.9127195904229374
