train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
1.1368,0.7688,1.1581,0.7438,150,0.00032215374601231046,275913424 microseconds,128,2,0.30518668431961715,0.325995348918665
1.1691,0.7339,1.1872,0.7143,116,0.0005243922579547286,215684296 microseconds,128,2,0.48450349343553134,0.4417666758245198
1.1736,0.7344,1.1969,0.7069,150,0.00017698908424616274,279133229 microseconds,128,2,0.2798472572360916,0.35695244268392945
1.1851,0.7204,1.1982,0.705,100,0.0009243547713378339,47740810 microseconds,512,2,0.22210024388693006,0.1200904690556458
1.2003,0.7056,1.2154,0.689,115,0.00016250742588765278,833523692 microseconds,32,2,0.6878087339197674,0.1407596090843657
1.2176,0.6901,1.2309,0.6792,150,0.0001458410932402204,140643045 microseconds,256,2,0.2543419690496651,0.38600910781601794
1.2278,0.6764,1.2442,0.6576,93,0.000978045255389103,44342326 microseconds,512,2,0.5016306328474238,0.7280040149591944
1.2647,0.6379,1.2674,0.6379,110,0.00019287475453156705,103484169 microseconds,256,2,0.6123210953749368,0.38794137241242477
1.2769,0.6214,1.2681,0.6355,50,0.0006534568471242777,362127662 microseconds,32,2,0.6815034002896315,0.12093418621735652
1.2821,0.6196,1.2784,0.6244,70,0.00041306718130156706,33908012 microseconds,512,2,0.5356494138834302,0.583789171445023
1.288,0.6116,1.2869,0.6182,148,0.0002039907911334841,71525685 microseconds,512,2,0.7253684471119303,0.5955507913319663
1.2872,0.6146,1.2921,0.6065,98,0.0004530369472410984,47267896 microseconds,512,2,0.7659672743903404,0.7877790671124967
1.2987,0.5964,1.2943,0.6047,44,0.0007629570923657159,321323101 microseconds,32,2,0.7161035778933277,0.32850054109868543
1.3107,0.5848,1.3033,0.5942,77,0.0009184584269412893,280485207 microseconds,64,2,0.8994418569100933,0.3000035508197373
1.3101,0.5893,1.3085,0.5961,90,0.0005543033128198148,43307289 microseconds,512,2,0.8745803437399543,0.37512759210603897
1.3137,0.5854,1.3112,0.5862,63,0.0004437121468370737,460322970 microseconds,32,2,0.9105651794424744,0.5489026249402521
1.3379,0.5622,1.3331,0.5659,71,0.0003158094090456634,517926160 microseconds,32,2,0.8660455502699494,0.8955617841724426
1.3549,0.548,1.3505,0.5505,134,0.00011128632839093054,125047912 microseconds,256,2,0.8188934113439428,0.8010875046988581
1.3934,0.5064,1.3799,0.5222,99,0.0004820711641819889,47243154 microseconds,512,2,0.970435562321912,0.7418323366901506
1.4558,0.439,1.446,0.4464,66,0.0002863931037484909,31566728 microseconds,512,2,0.7166194977869476,0.9859001228572012
