train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
1.1783,0.7264,1.2,0.7007,89,0.0006471445672730372,35074290 microseconds,256,2,0.028004747074266367,0.7127529683715189
1.1901,0.7179,1.2066,0.6964,137,0.00036058272621131604,27701054 microseconds,512,2,0.08983847647422905,0.7399922369864648
1.1881,0.717,1.2134,0.6872,128,0.00013495470551088128,382304943 microseconds,32,2,0.31981888313503715,0.01541299828986642
1.1954,0.7088,1.2206,0.6823,90,0.0005035309400221493,69784928 microseconds,128,2,0.3898875625124555,0.49448692301767383
1.2068,0.6999,1.2292,0.6755,94,0.00037614227255014537,36501944 microseconds,256,2,0.31180688162809045,0.12160669431750681
1.2377,0.6625,1.2321,0.6712,77,0.0007412661883482001,59720058 microseconds,128,2,0.6470668923010889,0.5070975566632447
1.2186,0.6848,1.2328,0.6706,93,0.0008964497546660816,19264887 microseconds,512,2,0.49863154270142773,0.7700869146410819
1.2549,0.6488,1.2362,0.6644,45,0.0008991883281521728,135391697 microseconds,32,2,0.14922042499085264,0.2846631553828959
1.241,0.6605,1.2414,0.6595,56,0.0005184390892729314,85632619 microseconds,64,2,0.3471990968761861,0.31788654392108096
1.2383,0.6658,1.2497,0.6613,73,0.00027119269961410966,28597804 microseconds,256,2,0.44304344073083135,0.643849357517754
1.254,0.6473,1.2566,0.6441,53,0.000754485409670992,158263146 microseconds,32,2,0.6396698721786331,0.20171001333285166
1.2509,0.6505,1.2572,0.6416,99,0.000414995876996042,296345255 microseconds,32,2,0.36283196719071287,0.9324431314443103
1.2525,0.6502,1.2666,0.6367,97,0.0009757073199818743,21750780 microseconds,512,2,0.36307960758696756,0.9267715394534151
1.2931,0.6086,1.277,0.6213,39,0.0005315539434858656,117361639 microseconds,32,2,0.6365749439229194,0.5640811141351421
1.2805,0.6215,1.2809,0.6232,77,0.00040587167813114106,230709365 microseconds,32,2,0.84589088521164,0.5595190465070379
1.3145,0.5835,1.3156,0.5837,34,0.000881866592912701,102009068 microseconds,32,2,0.5640271943627548,0.8373635972803827
1.3126,0.5904,1.3163,0.5893,76,0.00018198137982514934,15483526 microseconds,512,2,0.8920194302390131,0.32050578439456723
1.3536,0.548,1.3512,0.5505,29,0.0009469869636496354,43628863 microseconds,64,2,0.8810319925241309,0.9254872504215482
1.3568,0.5441,1.3555,0.5437,57,0.0007382350122546901,11960777 microseconds,512,2,0.8965881991215469,0.9542969576258552
1.5122,0.3798,1.5003,0.3904,50,0.0009012903068486253,38396300 microseconds,128,2,0.9990790752703825,0.13131846638945732
