train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
0.9727,0.7546,0.9769,0.7536,142,0.0001750772626447449,2610793389 microseconds,256,1,0.22507933022917903
0.9774,0.7507,0.979,0.7441,70,0.0005802091743381445,2561419114 microseconds,128,1,0.140240872626352
0.9767,0.7515,0.9796,0.7486,80,0.0008911944488597706,2927724107 microseconds,128,1,0.20012561862367462
0.979,0.7474,0.9805,0.7442,51,0.0007100462099630925,1866678554 microseconds,128,1,0.0911520829076895
0.9832,0.7421,0.982,0.7437,31,0.0002473536713982877,4522771515 microseconds,32,1,0.003734282840389569
0.9816,0.7426,0.9831,0.7408,66,0.0001575905304754246,9631278938 microseconds,32,1,0.38793332553472926
0.9813,0.7447,0.9838,0.7423,89,0.00011579150723556628,3257021946 microseconds,128,1,0.49882439218821184
0.9876,0.7385,0.9898,0.7323,114,0.00016959727716954633,1052092479 microseconds,512,1,0.7657064855714444
0.9901,0.7339,0.9903,0.7295,80,0.0008556244597488282,5842525231 microseconds,64,1,0.532713143054698
0.9917,0.73,0.9909,0.7311,43,0.0007223955416198482,1573776034 microseconds,128,1,0.507294271143994
0.9908,0.7319,0.9914,0.7309,86,0.00045290430135293557,793684254 microseconds,512,1,0.719783427263872
0.9904,0.7317,0.9925,0.7303,101,0.00019962634749965823,3695912782 microseconds,128,1,0.7969185588863179
0.9952,0.7263,0.9935,0.731,35,0.0009613523622513568,1281034874 microseconds,128,1,0.40809667557341645
0.9934,0.7301,0.9938,0.7263,73,0.0008254821292271744,10646332602 microseconds,32,1,0.5979334750873883
1.0012,0.7213,1.0024,0.7228,115,0.0001523121796354569,2113927929 microseconds,256,1,0.9124622656104253
1.0058,0.7125,1.006,0.7128,79,0.00023015474365282925,5770980526 microseconds,64,1,0.897311974030304
1.0145,0.7026,1.0113,0.706,41,0.00043754746571099894,2995164037 microseconds,64,1,0.8488019871247361
1.0101,0.7069,1.0113,0.7042,95,0.00038058928799478766,13856509596 microseconds,32,1,0.9033633908449566
1.0195,0.6958,1.0185,0.6951,61,0.0003079328455356355,563695782 microseconds,512,1,0.9443023236311757
1.0335,0.6768,1.0284,0.6795,63,0.0006799177225106288,4598935356 microseconds,64,1,0.9558185467434306
