train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1
0.979,0.7486,0.9806,0.7465,67,0.0006350838970496309,1950035617 microseconds,64,1,0.12634735761835914
0.9774,0.7502,0.9808,0.7453,77,0.0007632994739052297,566258079 microseconds,256,1,0.11796376075568604
0.9777,0.748,0.9817,0.7464,62,0.00039602021376558593,905086406 microseconds,128,1,0.10311389471866994
0.981,0.7473,0.9828,0.7431,105,0.00024147043167819772,6104311144 microseconds,32,1,0.4223425124090311
0.9808,0.7448,0.9828,0.7433,50,0.0009309620784574103,367001346 microseconds,256,1,0.016489027929582067
0.979,0.747,0.983,0.7436,81,0.00035304942268204337,1182298542 microseconds,128,1,0.32422688147776646
0.9818,0.747,0.9839,0.7423,54,0.0001631991615446984,788609768 microseconds,128,1,0.13266179872420159
0.9856,0.7393,0.9842,0.7411,33,0.0003688783927742367,1917836936 microseconds,32,1,0.005477583251578655
0.9821,0.7458,0.9843,0.7422,71,0.00012365632184734257,2066956699 microseconds,64,1,0.34717672111606
0.9865,0.7381,0.9863,0.7401,44,0.0008197771381941135,163211106 microseconds,512,1,0.2517999416650166
0.9869,0.7377,0.987,0.7382,60,0.0004107794815101642,3486344780 microseconds,32,1,0.4095614487619206
0.9876,0.7378,0.9877,0.737,85,0.00022761670252401177,2474369036 microseconds,64,1,0.6038796533129706
0.9869,0.737,0.9884,0.7331,77,0.0005331444062343184,2241419149 microseconds,64,1,0.5122742664738182
0.9897,0.7363,0.9885,0.7381,62,0.0008591295914913053,904449910 microseconds,128,1,0.42702709281907036
0.9905,0.7348,0.9892,0.735,45,0.0005185014884779116,2615073871 microseconds,32,1,0.3670588357867445
1.0121,0.7056,1.009,0.709,56,0.0007776142622360409,411486216 microseconds,256,1,0.800211676066032
1.0158,0.7017,1.0119,0.7041,30,0.00041982277989609316,1743362325 microseconds,32,1,0.743231365134983
1.0388,0.6688,1.0308,0.6826,21,0.000798830305399744,1220818266 microseconds,32,1,0.8529675487456064
1.0386,0.6683,1.0335,0.6766,26,0.00044776945601304074,379223390 microseconds,128,1,0.9410080683758092
1.2439,0.4998,1.2435,0.5,13,0.0009952159542129223,47972290 microseconds,512,1,0.9907016153684512
