train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
0.9705,0.7599,0.9713,0.7603,95,0.0005135487413014295,2616142540 microseconds,256,2,0.08769615311149603,0.1067501106279869
0.9806,0.7455,0.9832,0.7416,61,0.000659358538427177,843014168 microseconds,512,2,0.27417542295288033,0.36223974512918267
0.9875,0.7365,0.9865,0.7393,42,0.000396098275947107,4709776893 microseconds,64,2,0.393695987693811,0.2839330863360231
0.9925,0.7313,0.9886,0.7333,52,0.0008413669324782361,11640177820 microseconds,32,2,0.22304694016071147,0.5005437390397789
0.9892,0.735,0.9891,0.7325,55,0.0001692628594265995,12319023272 microseconds,32,2,0.7167272659808976,0.3319230368398408
0.9894,0.7324,0.9899,0.7328,60,0.000670395431615522,6619628958 microseconds,64,2,0.3659604403150851,0.535480247445229
0.9929,0.7288,0.9901,0.7349,61,0.0009310984310067156,3355706737 microseconds,128,2,0.4990479218344458,0.5155614381493621
0.9933,0.7301,0.9911,0.7349,42,0.0006324287628214952,4620300860 microseconds,64,2,0.5467525117030724,0.06093329964326111
0.9922,0.7316,0.9912,0.7315,87,0.0009790608369311588,9515880977 microseconds,64,2,0.6891475980995638,0.13602067444281074
0.9939,0.7312,0.9925,0.727,51,0.00038131949611818806,5579218990 microseconds,64,2,0.44620372404852304,0.8089014230413631
0.9972,0.723,0.9952,0.7269,41,0.0006535256708291406,9018709925 microseconds,32,2,0.4226438718344756,0.6008567800211058
0.9981,0.7259,0.9986,0.7264,53,0.0002706633160392233,5818432813 microseconds,64,2,0.17717690351353832,0.9229618180974348
0.9999,0.72,0.9987,0.7249,66,0.00047853655872829106,7400609887 microseconds,64,2,0.8496677963664745,0.18976472762054386
1.0097,0.7093,1.0055,0.7071,37,0.0008910588279878882,2028023026 microseconds,128,2,0.7953793948271053,0.1821692517605742
1.0089,0.7085,1.007,0.7132,32,0.0008356085772618003,884758956 microseconds,256,2,0.7428073084293196,0.517489785729019
1.0192,0.6936,1.0178,0.6966,33,0.0006989249628973943,1808779513 microseconds,128,2,0.8242196796764623,0.691971297927669
1.0201,0.6925,1.0195,0.6923,59,0.0008794333410509761,823488195 microseconds,512,2,0.8785734687263493,0.8562917297639818
1.0281,0.6803,1.0234,0.6855,28,0.0008297487163130133,1550508240 microseconds,128,2,0.8703487714766962,0.864683598097333
1.0442,0.6599,1.0323,0.6756,18,0.0004975081651560605,4031433033 microseconds,32,2,0.9639896888813793,0.027920506800831246
1.0538,0.6447,1.0478,0.6528,26,0.000381175551583478,363187570 microseconds,512,2,0.9811412289629668,0.8765120266769438
