train_loss,train_accuracy,validation_loss,validation_accuracy,epochs,learning_rate,train_time,batch_size,conv_layers_number,dropout_1,dropout_2
0.9785,0.7492,0.9814,0.7459,82,0.00018715256787037992,6537715003 microseconds,32,2,0.32340597170061236,0.35012800644009845
0.9847,0.7422,0.9838,0.7432,78,0.00062210798035237,785495275 microseconds,256,2,0.6269923929654709,0.07998742736162057
0.9861,0.7415,0.9883,0.7387,48,0.0006105316929791007,243188883 microseconds,512,2,0.43591191281992514,0.1944990373676181
0.9882,0.7372,0.9888,0.7353,40,0.0004381417833411054,1597400881 microseconds,64,2,0.14043817472517517,0.5403830029854262
0.9871,0.74,0.9892,0.7375,85,0.00045358492459041686,855303108 microseconds,256,2,0.13431299918497575,0.8159256163798444
0.9898,0.7398,0.9893,0.7421,53,0.00020470920830079005,268116752 microseconds,512,2,0.38909254044501185,0.0878865752360406
0.9878,0.7407,0.9894,0.7362,54,0.00031110006860015125,273257413 microseconds,512,2,0.5283827228576458,0.3981508873300046
0.9899,0.734,0.9897,0.7347,57,0.0009835936553096595,2277173822 microseconds,64,2,0.4853506854843982,0.11948806829628988
0.9901,0.7349,0.9923,0.7325,46,0.0003868726728980154,920524631 microseconds,128,2,0.631231038750261,0.2611182339329723
0.9961,0.7277,0.9964,0.7265,61,0.0007344592448328299,4861075647 microseconds,32,2,0.25739443543486973,0.628851541734885
0.9993,0.7229,0.9976,0.7231,56,0.0004855854005337057,1121083854 microseconds,128,2,0.6340275859602651,0.759951547930027
0.9987,0.7265,0.9983,0.7271,110,0.00027213772693023144,1106684353 microseconds,256,2,0.6810237404636307,0.917151795583091
1.0006,0.7184,0.9984,0.7205,51,0.000724052343164765,1020118825 microseconds,128,2,0.5011053885354826,0.7713605456177998
0.9987,0.7272,0.9989,0.7245,50,0.00011592908340263974,1995448502 microseconds,64,2,0.8126131161002874,0.5675029723835605
1.0055,0.7148,1.0027,0.7188,63,0.0006114048953473055,633112440 microseconds,256,2,0.795667894586704,0.775243176580887
1.0037,0.7164,1.0045,0.7147,63,0.00025652140916577587,5020081833 microseconds,32,2,0.855467295290068,0.6486890651999808
1.0202,0.6944,1.0176,0.696,53,0.0008180611355872402,532629558 microseconds,256,2,0.3653526342844634,0.9284392585460863
1.0275,0.6751,1.0262,0.6777,67,0.0005536141363210767,338837506 microseconds,512,2,0.6913228067028928,0.961309458743237
1.0909,0.6035,1.0832,0.6152,27,0.0006632411228250091,271086286 microseconds,256,2,0.9882683781206465,0.5769339477632719
1.2437,0.5,1.2437,0.5,22,0.0005602274258185216,111508360 microseconds,512,2,0.960434545251343,0.9927823494226198
